AFFYMETRIX_3PRIME_IVT_ID	Name	Species
36421_at	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	Homo sapiens
38646_s_at	regenerating islet-derived 1 alpha; regenerating islet-derived 1 pseudogene	Homo sapiens
34453_at	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	Homo sapiens
35038_at	myosin binding protein C, cardiac	Homo sapiens
34012_at	keratin 34	Homo sapiens
1575_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Homo sapiens
36766_at	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	Homo sapiens
36696_at	phosphatidylinositol glycan anchor biosynthesis, class C	Homo sapiens
32279_at	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	Homo sapiens
39198_s_at	tetratricopeptide repeat domain 15	Homo sapiens
35566_f_at	immunoglobulin heavy constant gamma 1 (G1m marker); immunoglobulin heavy constant mu; immunoglobulin heavy variable 3-7; immunoglobulin heavy constant gamma 3 (G3m marker); immunoglobulin heavy variable 3-11 (gene/pseudogene); immunoglobulin heavy variable 4-31; immunoglobulin heavy locus	Homo sapiens
34529_at	hypothetical protein LOC729678	Homo sapiens
40553_at	hypothetical LOC729400; hypothetical LOC728401; similar to Putative POM121-like protein 1-like	Homo sapiens
31715_at	testis expressed 28; testis expressed 28 pseudogene 1; testis expressed 28 pseudogene 2	Homo sapiens
34618_at	Indian hedgehog homolog (Drosophila)	Homo sapiens
36378_at	uroplakin 1A	Homo sapiens
38604_at	neuropeptide Y	Homo sapiens
32418_at	phosphodiesterase 1C, calmodulin-dependent 70kDa	Homo sapiens
32148_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	Homo sapiens
37898_r_at	trefoil factor 3 (intestinal)	Homo sapiens
38103_at	GRB10 interacting GYF protein 2	Homo sapiens
33922_at	PR domain containing 2, with ZNF domain	Homo sapiens
41280_r_at	mitogen-activated protein kinase 8 interacting protein 1	Homo sapiens
34436_at	solute carrier family 17 (sodium phosphate), member 3	Homo sapiens
37454_at	chemokine (C-C motif) ligand 13	Homo sapiens
40790_at	basic helix-loop-helix family, member e40	Homo sapiens
33077_at	sidekick homolog 1, cell adhesion molecule (chicken); hypothetical LOC730351	Homo sapiens
41113_at	zinc finger protein 500	Homo sapiens
33027_at	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4; ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	Homo sapiens
40089_at	Williams Beuren syndrome chromosome region 22	Homo sapiens
38482_at	claudin 7	Homo sapiens
34972_s_at	dynein, axonemal, heavy chain 17	Homo sapiens
32084_at	solute carrier family 22 (organic cation/carnitine transporter), member 5	Homo sapiens
40735_at	histidine ammonia-lyase	Homo sapiens
679_at	cathepsin G	Homo sapiens
37105_at	cathepsin G	Homo sapiens
33963_at	azurocidin 1	Homo sapiens
40271_at	nucleoporin 93kDa	Homo sapiens
37968_at	natural cytotoxicity triggering receptor 3	Homo sapiens
39698_at	HOP homeobox	Homo sapiens
32469_at	carcinoembryonic antigen-related cell adhesion molecule 3	Homo sapiens
38816_at	transforming, acidic coiled-coil containing protein 2	Homo sapiens
1983_at	cyclin D2	Homo sapiens
34720_at	nuclear factor I/B	Homo sapiens
1786_at	c-mer proto-oncogene tyrosine kinase	Homo sapiens
33371_s_at	RAB31, member RAS oncogene family	Homo sapiens
